2026-03-21 11:32:11,652 | INFO     | app.py:35 | REQ  | POST /api/schedule | Args: {}
2026-03-21 11:32:11,657 | DEBUG    | debugger.py:181 | SQL_EXEC | Time: 0.61ms | Query: SELECT id FROM staff WHERE id = %s
2026-03-21 11:32:11,658 | DEBUG    | debugger.py:181 | SQL_EXEC | Time: 0.86ms | Query: SELECT s.id, s.start_time, s.end_time, st.first_name, st.last_name FROM shifts s JOIN staff st ON s.staff_id = st.id WHERE s.staff_id = %s AND s.start_time < %s AND s.end_time > %s AND s.status != 'de...
2026-03-21 11:32:11,661 | DEBUG    | debugger.py:181 | SQL_EXEC | Time: 2.24ms | Query: INSERT INTO shifts (staff_id, start_time, end_time, note, status, completion_percent, pay_multiplier) VALUES (%s, %s, %s, %s, 'pending', %s, %s) RETURNING id
2026-03-21 11:32:11,663 | DEBUG    | debugger.py:181 | SQL_EXEC | Time: 1.53ms | Query: INSERT INTO schedule_audit_logs (shift_id, action, changed_by, details) VALUES (%s, %s, %s, %s)
2026-03-21 11:32:11,668 | INFO     | app.py:39 | RESP | POST /api/schedule | Status: 201
2026-03-21 11:32:11,676 | INFO     | app.py:35 | REQ  | GET /api/schedule | Args: {'start': '2026-03-18T23:00:00.000Z', 'end': '2026-03-19T22:59:59.999Z'}
2026-03-21 11:32:11,686 | DEBUG    | debugger.py:181 | SQL_EXEC | Time: 4.24ms | Query: SELECT EXISTS ( SELECT 1 FROM information_schema.columns WHERE table_name = 'shifts' AND column_name = 'salary_payment_id' )
2026-03-21 11:32:11,688 | DEBUG    | debugger.py:181 | SQL_EXEC | Time: 1.16ms | Query: SELECT s.id, s.staff_id, s.start_time, s.end_time, s.note, st.first_name, st.last_name, r.name as role_name, r.id as role_id, s.status, s.approved_by, s.approved_at, s.salary_payment_id, COALESCE(s.co...
2026-03-21 11:32:11,688 | INFO     | app.py:39 | RESP | GET /api/schedule | Status: 200
2026-03-21 11:32:11,826 | INFO     | app.py:35 | REQ  | GET /api/schedule | Args: {'start': '2026-03-20T23:00:00.000Z', 'end': '2026-03-21T22:59:59.999Z', 'status': 'on_duty'}
2026-03-21 11:32:11,835 | DEBUG    | debugger.py:181 | SQL_EXEC | Time: 4.85ms | Query: SELECT EXISTS ( SELECT 1 FROM information_schema.columns WHERE table_name = 'shifts' AND column_name = 'salary_payment_id' )
2026-03-21 11:32:11,838 | DEBUG    | debugger.py:181 | SQL_EXEC | Time: 2.00ms | Query: SELECT s.id, s.staff_id, s.start_time, s.end_time, s.note, st.first_name, st.last_name, r.name as role_name, r.id as role_id, s.status, s.approved_by, s.approved_at, s.salary_payment_id, COALESCE(s.co...
2026-03-21 11:32:11,839 | INFO     | app.py:39 | RESP | GET /api/schedule | Status: 200
2026-03-21 11:32:13,858 | INFO     | app.py:35 | REQ  | GET /api/staff/medicines | Args: {}
2026-03-21 11:32:13,859 | INFO     | app.py:35 | REQ  | GET /api/staff | Args: {}
2026-03-21 11:32:13,859 | INFO     | app.py:35 | REQ  | GET /api/staff/roles | Args: {}
2026-03-21 11:32:13,867 | DEBUG    | debugger.py:181 | SQL_EXEC | Time: 0.85ms | Query: SELECT id, name FROM staff_roles ORDER BY name
2026-03-21 11:32:13,868 | INFO     | app.py:39 | RESP | GET /api/staff/roles | Status: 200
2026-03-21 11:32:13,869 | DEBUG    | debugger.py:181 | SQL_EXEC | Time: 2.89ms | Query: SELECT s.id, s.first_name, s.last_name, s.phone, s.email, s.bio, s.base_salary, s.commission_rate, s.last_paid_at, s.total_revenue, s.is_active, r.name, COALESCE(SUM(sp.amount), 0) AS commission_incom...
2026-03-21 11:32:13,870 | INFO     | app.py:39 | RESP | GET /api/staff | Status: 200
2026-03-21 11:32:13,889 | DEBUG    | debugger.py:181 | SQL_EXEC | Time: 22.51ms | Query: SELECT id, name FROM medicine_presets ORDER BY name
2026-03-21 11:32:13,890 | INFO     | app.py:39 | RESP | GET /api/staff/medicines | Status: 200
2026-03-21 11:32:17,756 | INFO     | app.py:35 | REQ  | GET /api/staff | Args: {}
2026-03-21 11:32:17,757 | INFO     | app.py:35 | REQ  | GET /api/staff/14/documents | Args: {'type': 'salary_report', 'from': '2026-03-01', 'to': '2026-03-21'}
2026-03-21 11:32:17,758 | INFO     | app.py:35 | REQ  | GET /api/schedule | Args: {'staff_id': '14', 'start': '2026-03-01T00:00:00Z', 'end': '2026-04-21T23:59:59Z'}
2026-03-21 11:32:17,767 | DEBUG    | debugger.py:181 | SQL_EXEC | Time: 0.73ms | Query: CREATE TABLE IF NOT EXISTS staff_documents ( id SERIAL PRIMARY KEY, staff_id INT NOT NULL REFERENCES staff(id) ON DELETE CASCADE, document_type VARCHAR(60) NOT NULL, period_from DATE, period_to DATE, ...
2026-03-21 11:32:17,768 | DEBUG    | debugger.py:181 | SQL_EXEC | Time: 0.62ms | Query: CREATE INDEX IF NOT EXISTS idx_staff_documents_staff ON staff_documents(staff_id)
2026-03-21 11:32:17,768 | DEBUG    | debugger.py:181 | SQL_EXEC | Time: 3.90ms | Query: SELECT s.id, s.first_name, s.last_name, s.phone, s.email, s.bio, s.base_salary, s.commission_rate, s.last_paid_at, s.total_revenue, s.is_active, r.name, COALESCE(SUM(sp.amount), 0) AS commission_incom...
2026-03-21 11:32:17,770 | DEBUG    | debugger.py:181 | SQL_EXEC | Time: 0.64ms | Query: CREATE INDEX IF NOT EXISTS idx_staff_documents_type ON staff_documents(document_type)
2026-03-21 11:32:17,770 | INFO     | app.py:39 | RESP | GET /api/staff | Status: 200
2026-03-21 11:32:17,771 | DEBUG    | debugger.py:181 | SQL_EXEC | Time: 0.99ms | Query: CREATE INDEX IF NOT EXISTS idx_staff_documents_period ON staff_documents(period_from, period_to)
2026-03-21 11:32:17,773 | DEBUG    | debugger.py:181 | SQL_EXEC | Time: 0.59ms | Query: CREATE INDEX IF NOT EXISTS idx_staff_documents_signed_at ON staff_documents(signed_at)
2026-03-21 11:32:17,774 | DEBUG    | debugger.py:181 | SQL_EXEC | Time: 7.82ms | Query: SELECT EXISTS ( SELECT 1 FROM information_schema.columns WHERE table_name = 'shifts' AND column_name = 'salary_payment_id' )
2026-03-21 11:32:17,778 | DEBUG    | debugger.py:181 | SQL_EXEC | Time: 2.60ms | Query: SELECT s.id, s.staff_id, s.start_time, s.end_time, s.note, st.first_name, st.last_name, r.name as role_name, r.id as role_id, s.status, s.approved_by, s.approved_at, s.salary_payment_id, COALESCE(s.co...
2026-03-21 11:32:17,779 | INFO     | app.py:39 | RESP | GET /api/schedule | Status: 200
2026-03-21 11:32:17,779 | DEBUG    | debugger.py:181 | SQL_EXEC | Time: 5.57ms | Query: SELECT id, document_type, period_from, period_to, signed_at, signer_name, signature_hash, signature_token, file_path, created_at FROM staff_documents WHERE staff_id = %s AND document_type = %s AND (pe...
2026-03-21 11:32:17,781 | INFO     | app.py:39 | RESP | GET /api/staff/14/documents | Status: 200
2026-03-21 11:32:17,789 | INFO     | app.py:35 | REQ  | GET /api/staff/14/documents | Args: {'type': 'salary_report', 'from': '2026-03-01', 'to': '2026-04-21'}
2026-03-21 11:32:17,798 | DEBUG    | debugger.py:181 | SQL_EXEC | Time: 1.28ms | Query: SELECT id, document_type, period_from, period_to, signed_at, signer_name, signature_hash, signature_token, file_path, created_at FROM staff_documents WHERE staff_id = %s AND document_type = %s AND (pe...
2026-03-21 11:32:17,798 | INFO     | app.py:39 | RESP | GET /api/staff/14/documents | Status: 200
2026-03-21 11:32:18,978 | INFO     | app.py:35 | REQ  | PATCH /api/schedule/75/status | Args: {}
2026-03-21 11:32:18,984 | DEBUG    | debugger.py:181 | SQL_EXEC | Time: 0.96ms | Query: SELECT staff_id, start_time, end_time, status, salary_payment_id FROM shifts WHERE id = %s
2026-03-21 11:32:19,005 | DEBUG    | debugger.py:181 | SQL_EXEC | Time: 20.45ms | Query: UPDATE shifts SET status = %s, approved_by = CASE WHEN %s = 'accepted' THEN %s ELSE approved_by END, approved_at = CASE WHEN %s = 'accepted' THEN COALESCE(approved_at, NOW()) ELSE approved_at END, upd...
2026-03-21 11:32:19,007 | DEBUG    | debugger.py:181 | SQL_EXEC | Time: 0.85ms | Query: INSERT INTO schedule_audit_logs (shift_id, action, changed_by, details) VALUES (%s, %s, %s, %s)
2026-03-21 11:32:19,009 | INFO     | app.py:39 | RESP | PATCH /api/schedule/75/status | Status: 200
2026-03-21 11:32:19,019 | INFO     | app.py:35 | REQ  | GET /api/staff | Args: {}
2026-03-21 11:32:19,019 | INFO     | app.py:35 | REQ  | GET /api/schedule | Args: {'staff_id': '14', 'start': '2026-03-01T00:00:00Z', 'end': '2026-04-21T23:59:59Z'}
2026-03-21 11:32:19,025 | DEBUG    | debugger.py:181 | SQL_EXEC | Time: 2.41ms | Query: SELECT s.id, s.first_name, s.last_name, s.phone, s.email, s.bio, s.base_salary, s.commission_rate, s.last_paid_at, s.total_revenue, s.is_active, r.name, COALESCE(SUM(sp.amount), 0) AS commission_incom...
2026-03-21 11:32:19,027 | DEBUG    | debugger.py:181 | SQL_EXEC | Time: 4.06ms | Query: SELECT EXISTS ( SELECT 1 FROM information_schema.columns WHERE table_name = 'shifts' AND column_name = 'salary_payment_id' )
2026-03-21 11:32:19,027 | INFO     | app.py:39 | RESP | GET /api/staff | Status: 200
2026-03-21 11:32:19,029 | DEBUG    | debugger.py:181 | SQL_EXEC | Time: 1.66ms | Query: SELECT s.id, s.staff_id, s.start_time, s.end_time, s.note, st.first_name, st.last_name, r.name as role_name, r.id as role_id, s.status, s.approved_by, s.approved_at, s.salary_payment_id, COALESCE(s.co...
2026-03-21 11:32:19,032 | INFO     | app.py:39 | RESP | GET /api/schedule | Status: 200
2026-03-21 11:32:47,228 | INFO     | app.py:35 | REQ  | GET /api/staff | Args: {}
2026-03-21 11:32:47,230 | INFO     | app.py:35 | REQ  | GET /api/outcome/categories | Args: {}
2026-03-21 11:32:47,256 | INFO     | app.py:35 | REQ  | GET /api/staff/14/salary-estimate | Args: {'from': '2026-03-01', 'to': '2026-04-21'}
2026-03-21 11:32:47,259 | INFO     | app.py:35 | REQ  | GET /api/staff/14/salary-notes | Args: {'limit': '10', 'offset': '0'}
